Name
Databases
fuslog
moonpig-customermanagementweb
Moonpig-db-Moonpigcustomerdata
Moonpig-ExternalAPI
moonpig-merchandisingtool
moonpig-nugetpackages
moonpig-services-artworkrendering
moonpig-web
Moonpig.ContentManagementSystem
Moonpig.Db.Master
Moonpig.Developer.Orchestration
Moonpig.Eapi.V1SecureWrapper
moonpig.emails
Moonpig.EnvironmentVariables
moonpig.features.definitions
Moonpig.Logging
Moonpig.MassTransit
Moonpig.Migration.TemplateAssets
Moonpig.Migration.TemplatePrintAssetsSubscriber
Moonpig.POC
Moonpig.Powershell.Scripts
Moonpig.Responses
Moonpig.RightsEnforcer
Moonpig.Services.AbandonedBasketScheduler
Moonpig.Services.Account
Moonpig.Services.Assets
Moonpig.Services.AutoCheckout
Moonpig.Services.Basket
Moonpig.Services.Customer
Moonpig.Services.CustomerArtwork
Moonpig.Services.Customisation
Moonpig.Services.DesignArtwork
Moonpig.Services.Discount
Moonpig.Services.IdentityServer
Moonpig.Services.Imaging
Moonpig.Services.Offer
Moonpig.Services.Order
Moonpig.Serv
